THz Laser,,IR Pump,,,,,,,,,,,
,,P,,,,Q,,,,R,,,
Freq (GHz),QN,P Freq (wn),P QN,P Polarization,P G_m,Q Freq (wn),Q QN,Q Polarization,Q G_m,R Freq (wn),R QN,R Polarization,R G_m
140.1419,"aR(1,1) ",872.5671,"aP(3,1)",parallel,1.50E-18,932.1362,"aQ(2,1)",perpendicular,5.70E-19,971.882,"aR(1,1)",parallel,1.20E-18
446.5256,"sQ(13,3)*",-,-,-,-,-,-,-,-,1212.8633,"sR(12,3)",perpendicular,1.60E-21
466.2458,"sP(1,0) ",948.232,"sP(1,0)",parallel,4.80E-18,-,-,-,-,-,-,-,-
472.7172,"sQ(13,4)*",-,-,-,-,-,-,-,-,1212.83,"sR(12,4)",perpendicular,1.60E-21
473.3056,"sQ(14,6)*",-,-,-,-,-,-,-,-,1230.2321,"sR(13,6)",perpendicular,2.40E-21
496.3563,"sQ(12,2)*",-,-,-,-,-,-,-,-,1195.193,"sR(11,2)",perpendicular,1.20E-21
504.8735,"sQ(13,5)*",-,-,-,-,-,-,-,-,1212.748,"sR(12,5)",perpendicular,2.70E-21
515.3808,"sQ(12,3)*",-,-,-,-,-,-,-,-,1195.1336,"sR(11,3)",perpendicular,5.60E-21
520.2789,"sQ(14,7)*",-,-,-,-,-,-,-,-,1230.1397,"sR(13,7)",perpendicular,1.90E-21
540.7765,"sQ(12,4)*",-,-,-,-,-,-,-,-,1195.0464,"sR(11,4)",perpendicular,5.30E-21
546.9373,"sQ(13,6)*",688.497,"sP(14,6)",perpendicular,1.40E-21,959.7394,"sQ(13,6)",parallel,1.70E-21,1212.6649,"sR(12,6)",perpendicular,8.60E-21
561.4592,"sQ(11,2)*",-,-,-,-,-,-,-,-,1177.1978,"sR(10,2)",perpendicular,3.60E-21
561.9381,"sQ(15,9)*",-,-,-,-,-,-,-,-,1247.3303,"sR(14,9)",perpendicular,2.20E-21
577.348,"sQ(12,5)*",708.4153,"sP(13,5)",perpendicular,1.60E-21,960.952,"sQ(12,5)",parallel,1.50E-21,1194.9762,"sR(11,5)",perpendicular,8.90E-21
579.8942,"sQ(14,8)*",-,-,-,-,-,-,-,-,1230.0694,"sR(13,8)",perpendicular,2.80E-21
580.4775,"sQ(11,3)*",728.8132,"sP(12,3)",perpendicular,3.60E-21,962.2798,"sQ(11,3)",parallel,1.20E-21,1177.1108,"sR(10,3)",perpendicular,1.70E-20
600.8666,"sQ(13,7)*",687.4722,"sP(14,7)",perpendicular,1.10E-21,959.203,"sQ(13,7)",parallel,2.00E-21,1212.5951,"sR(12,7)",perpendicular,6.60E-21
611.9772,"sQ(11,4)*",728.3232,"sP(12,4)",perpendicular,3.40E-21,962.0497,"sQ(11,4)",parallel,2.10E-21,1177.0776,"sR(10,4)",perpendicular,1.60E-20
615.0456,"sQ(10,1)*",-,-,-,-,-,-,-,-,1159.0473,"sR(9,1)",perpendicular,2.60E-21
625.1605,"sQ(12,6)*",707.5927,"sP(13,6)",perpendicular,5.20E-21,960.5182,"sQ(12,6)",parallel,7.30E-21,1194.9111,"sR(11,6)",perpendicular,2.80E-20
628.5864,"sQ(10,2)*",748.5698,"sP(11,2)",perpendicular,2.50E-21,-,-,-,-,1159.0258,"sR(9,2)",perpendicular,1.00E-20
643.9029,"sQ(15,10)*",-,-,-,-,-,-,-,-,1247.3221,"sR(14,10)",perpendicular,1.70E-21
651.9892,"sQ(10,3)*",748.2265,"sP(11,3)",perpendicular,1.20E-20,963.0575,"sQ(10,3)",parallel,4.30E-21,1158.985,"sR(9,3)",perpendicular,4.90E-20
653.1278,"sQ(11,5)*",727.6892,"sP(12,5)",perpendicular,5.70E-21,961.7134,"sQ(11,5)",parallel,5.90E-21,1177.0212,"sR(10,5)",perpendicular,2.70E-20
655.1437,"sQ(14,9)*",665.9482,"sP(15,9)",perpendicular,1.20E-21,957.0761,"sQ(14,9)",parallel,4.00E-21,1230.0439,"sR(13,9)",perpendicular,8.40E-21
669.2437,"sQ(13,8)*",686.3134,"sP(14,8)",perpendicular,1.60E-21,958.6177,"sQ(13,8)",parallel,4.30E-21,1212.5581,"sR(12,8)",perpendicular,9.80E-21
681.5026,"sQ(9,1)*",768.3114,"sP(10,1)",perpendicular,1.90E-21,-,-,-,-,1140.6997,"sR(8,1)",perpendicular,6.80E-21
685.1681,"sQ(10,4)*",747.7627,"sP(11,4)",perpendicular,1.10E-20,962.7907,"sQ(10,4)",parallel,7.70E-21,1158.9289,"sR(9,4)",perpendicular,4.50E-20
686.4131,"sQ(12,7)*",706.6404,"sP(13,7)",perpendicular,4.00E-21,960.0325,"sQ(12,7)",parallel,8.50E-21,1194.8679,"sR(11,7)",perpendicular,2.10E-20
696.4339,"sQ(9,2)*",768.1283,"sP(10,2)",perpendicular,7.60E-21,963.9242,"sQ(9,2)",parallel,1.40E-21,1140.6792,"sR(8,2)",perpendicular,2.70E-20
706.8979,"sQ(11,6)*",726.9295,"sP(12,6)",perpendicular,1.80E-20,961.3224,"sQ(11,6)",parallel,3.60E-20,1176.9767,"sR(10,6)",perpendicular,8.40E-20
721.2642,"sQ(9,3)*",767.809,"sP(10,3)",perpendicular,3.50E-20,963.7365,"sQ(9,3)",parallel,1.50E-20,1140.6274,"sR(8,3)",perpendicular,1.30E-19
730.9841,"sQ(10,5)*",747.1812,"sP(11,5)",perpendicular,1.80E-20,962.489,"sQ(10,5)",parallel,2.20E-20,1158.8875,"sR(9,5)",perpendicular,7.30E-20
741.7881,"aR(2,2) ",852.7247,"aP(4,2)",parallel,9.60E-19,932.094,"aQ(3,2)",perpendicular,1.00E-18,991.6905,"aR(2,2)",parallel,9.00E-19
747.2868,"sQ(8,1)*",788.0214,"sP(9,1)",perpendicular,5.00E-21,-,-,-,-,1122.1784,"sR(7,1)",perpendicular,1.60E-20
747.344,"sQ(15,11)*",-,-,-,-,954.5983,"sQ(15,11)",parallel,1.70E-21,1247.4088,"sR(14,11)",perpendicular,2.40E-21
747.5883,"sQ(16,12)*",-,-,-,-,952.6967,"sQ(16,12)",parallel,1.30E-21,1264.5198,"sR(15,12)",perpendicular,1.80E-21
749.9338,"sQ(14,10)*",-,-,-,-,956.3676,"sQ(14,10)",parallel,4.20E-21,1230.0949,"sR(13,10)",perpendicular,6.00E-21
755.4456,"sQ(13,9)*",685.0379,"sP(14,9)",perpendicular,4.80E-21,958.0058,"sQ(13,9)",parallel,1.90E-20,1212.581,"sR(12,9)",perpendicular,2.80E-20
759.0008,"sQ(9,4)*",767.396,"sP(10,4)",perpendicular,3.30E-20,963.5342,"sQ(9,4)",parallel,2.70E-20,1140.6037,"sR(8,4)",perpendicular,1.10E-19
762.8525,"aR(2,1) ",853.5482,"aP(4,1)",parallel,1.80E-18,932.8812,"aQ(3,1)",perpendicular,3.80E-19,992.4503,"aR(2,1)",parallel,2.20E-18
763.5831,"sQ(8,2)*",787.8547,"sP(9,2)",perpendicular,2.20E-20,964.6096,"sQ(8,2)",parallel,4.50E-21,1122.16,"sR(7,2)",perpendicular,6.60E-20
763.9947,"sQ(12,8)*",705.5734,"sP(13,8)",perpendicular,5.90E-21,959.5139,"sQ(12,8)",parallel,1.90E-20,1194.8697,"sR(11,8)",perpendicular,3.00E-20
769.7102,"aR(2,0) ",853.8178,"aP(4,0)",parallel,4.10E-18,-,-,-,-,992.6987,"aR(2,0)",parallel,5.20E-18
775.7261,"sQ(11,7)*",726.0576,"sP(12,7)",perpendicular,1.40E-20,960.893,"sQ(11,7)",parallel,3.60E-20,1176.9636,"sR(10,7)",perpendicular,6.00E-20
790.8172,"sQ(10,6)*",746.49,"sP(11,6)",perpendicular,5.70E-20,962.1444,"sQ(10,6)",parallel,1.10E-19,1158.8655,"sR(9,6)",perpendicular,2.20E-19
791.531,"sQ(8,3)*",787.5761,"sP(9,3)",perpendicular,9.60E-20,964.467,"sQ(8,3)",parallel,5.00E-20,1122.1329,"sR(7,3)",perpendicular,3.00E-19
809.4812,"sQ(9,5)*",766.8705,"sP(10,5)",perpendicular,5.40E-20,963.2691,"sQ(9,5)",parallel,7.70E-20,1140.578,"sR(8,5)",perpendicular,1.80E-19
810.919,"sQ(7,1)*",807.8716,"sP(8,1)",perpendicular,1.30E-20,-,-,-,-,1103.4858,"sR(6,1)",perpendicular,3.70E-20
828.5256,"sQ(7,2)*",807.7223,"sP(8,2)",perpendicular,5.30E-20,965.2727,"sQ(7,2)",parallel,1.40E-20,1103.4698,"sR(6,2)",perpendicular,1.40E-19
831.9689,"sQ(8,4)*",787.1989,"sP(9,4)",perpendicular,8.80E-20,964.2685,"sQ(8,4)",parallel,8.90E-20,1122.104,"sR(7,4)",perpendicular,2.60E-19
858.3951,"sQ(7,3)*",807.4718,"sP(8,3)",perpendicular,2.40E-19,965.1377,"sQ(7,3)",parallel,1.60E-19,1103.4412,"sR(6,3)",perpendicular,6.30E-19
861.6717,"sQ(12,9)*",704.4141,"sP(13,9)",perpendicular,1.70E-20,958.9893,"sQ(12,9)",parallel,7.70E-20,1194.9479,"sR(11,9)",perpendicular,8.10E-20
862.8099,"sQ(11,8)*",725.0925,"sP(12,8)",perpendicular,1.90E-20,960.4482,"sQ(11,8)",parallel,7.00E-20,1177.0084,"sR(10,8)",perpendicular,8.10E-20
